CNS,Situação,Nome,UF,Município,Endereço,Bairro,CEP,Column
3376,Ativo,MOACIR CAVALCANTI,AL,SAO MIGUEL DOS CAMPOS,"RUA SAMPAIO MARQUES ,135",CENTRO,57240000,
3459,Ativo,REGISTRADOR CIVIL E NOTÁRIO  - GE055,AL,SAO BRAS,RUA VEREADOR ALFREDO SANTOS. 19,CENTRO,57380000,
3467,Ativo,REGISTRO CIVIL E NOTAS,AL,PARICONHA,"RUA PEDRO PEREIRA DE SÁ, 105",CENTRO,57475000,
3475,Ativo,REGISTRO CIVIL DA COMARCA DE MARAGOGI,AL,MARAGOGI,"RUA FRANCISCA HOLANDA CAVALCANTE, 37",CENTRO,57955000,
3483,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,DOIS RIACHOS,AV MIGUEL VIEIRA DE NOVAES 226,CENTRO,57560000,
3491,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,DELMIRO GOUVEIA,"RUA FREITAS CAVALCANTE, Nº 219",CENTRO,57480000,
3509,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,ESTRELA DE ALAGOAS,"AV. ARLINDO GARROTE, 212",CENTRO,57625000,
3517,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,IGACI,"RUA SÃO PEDRO, N°. 12",CENTRO,57620000,
3525,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS DE RIO LARGO,AL,RIO LARGO,"TRAVESSA JARBAS JANUÁRIO, SEM NÚMERO, 1º ANDAR",CENTRO,57100000,
3533,Ativo,REGISTRO CIVIL E NOTAS DE BARRA DE SANTO ANTONIO,AL,BARRA DE SANTO ANTONIO,"AV. CECÍLIA CÂNDIDA DA SILVA, S/N","ILHA DA CRÔA, CENTRO",57925000,
3541,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DE ENTREMONTES,AL,PIRANHAS,"RUA MONSENHOR FERNANDO VIEIRA, S/N",CENTRO,57460000,
3558,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DE JUNQUEIRO,AL,JUNQUEIRO,"RUA JOSÉ BARBOSA DE SOUZA, Nº 18",CENTRO,57270000,
3566,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS DE OLHO DAGUA GRANDE,AL,OLHO D'AGUA GRANDE,RUA 14 DE SETEMBRO Nº 115,CENTRO,57390000,
3574,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE BARRA GRANDE,AL,MARAGOGI,"RUA FLORIANO QUEIROZ COUTINHO, 220",BARRA GRANDE,57955000,
3582,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE BOCA DA MATA,AL,BOCA DA MATA,"RUA JOSE HENRIQUE TEIXEIRA, 140",CENTRO,57680000,
3590,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE CORURIPE,AL,CORURIPE,"PRAÇA DR LIMA CASTRO, S/N",CENTRO,57230000,
3608,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE FELIZ DESERTO,AL,FELIZ DESERTO,AV. DR. MUNIZ FALCAO S/N.,CENTRO,57220000,
3616,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE LAGOA DA CANOA,AL,LAGOA DA CANOA,"RUA DA MATRIZ, Nº 16",CENTRO,57330000,
3624,Ativo,REGISTRO CIVIL DE PINDOBA,AL,PINDOBA,"RUA DO COMERCIO, 21",CENTRO,57720000,
3632,Ativo,REGISTRO CIVIL DE ROCHA CAVALCANTE,AL,UNIAO DOS PALMARES,"RUA JOAQUIM CARDOSO, S/N",CENTRO,57810000,
3640,Ativo,REGISTRO CIVIL DE UNIÃO DOS PALMARES,AL,UNIAO DOS PALMARES,RUA DR. PAULO SARMENTO,COHAB,57800000,
3657,Ativo,REGISTRO CIVIL DO DISTRITO DE MUNGUBA DA COMARCA DE UNIAO DOS PALMARES,AL,UNIAO DOS PALMARES,VILA MUNGUBA,VILA MUNGUBA,57840000,
3665,Ativo,REGISTRO DE PESSOAS NATURAIS DA VILA LIMOEIRO,AL,PAO DE ACUCAR,"RUA JOÃO MENDES SOBRINHO, 55",CENTRO,57400000,
3673,Ativo,SERVENTIA DO REGISTRO CIVIL DE ROTEIRO,AL,ROTEIRO,"RUA JOÃO PEDRO, 525",CENTRO,57246000,
3681,Ativo,CARTÓRIO DO ÚNICO OFÍCIO DE BARRA DE SÃO MIGUEL,AL,BARRA DE SAO MIGUEL,"RUA PESCADOR JOSÉ MACHADO, 132,",CENTRO,57180000,
3699,Ativo,SERVENTIA ÚNICA DE JACARÉ DOS HOMENS,AL,JACARE DOS HOMENS,"PRAÇA ANTÔNIO FIGUEIREDO, S/N",CENTRO,57430430,
3707,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,PIRANHAS,"AV. BERNARDO SOARES DE SOUZA, S/N",PIAU,57460000,
3715,Ativo,SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS  AMORIM CARVALHO,AL,OURO BRANCO,"PRAÇA ANTONIO XAVIER DE CARVALHO, 73",CENTRO,57525000,
3723,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS,AL,SAO MIGUEL DOS MILAGRES,"RUA AUGUSTO DE BARROS FALCÃO, S/N",CENTRO,57940000,
3731,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS,AL,SAO SEBASTIAO,"PRAÇA NOBERTO LESSA, 27",CENTRO,57275000,
3749,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DE PALESTINA,AL,PALESTINA,"RUA VITÓRIO DOS SANTOS, 91",CENTRO,57410000,
3756,Ativo,SERVIÇO DO REGISTRO CIVIL E NOTAS DE PASSO DE CAMARAGIBE,AL,PASSO DE CAMARAGIBE,RUA FRANCISCO PIMENTEL,CENTRO,57930000,
3764,Ativo,SERVIÇO DE REGISTRO CIVIL E NOTAS DE PAULO JACINTO/AL,AL,PAULO JACINTO,"RUA SÃO JOSÉ, 101",CENTRO,57740000,
3814,Ativo,SERVIÇO REGISTRAL E NOTARIAL,AL,COITE DO NOIA,"PRAÇA ANTONIO PEDRO DE ALBUQUERQUE, Nº: 191",CENTRO,57325000,
3855,Ativo,SERVIÇO NOTARIAL E REGISTRAL DAS PESSOAS NATURAIS DO 1º DISTRITO DE PORTO DE PEDRAS,AL,PORTO DE PEDRAS,"RUA DR. SEBASTIÃO DA HORA, 2",CENTRO,57945000,
3939,Ativo,SERVIÇO REGISTRAL CIVIL E NOTAS DE CAJUEIRO,AL,CAJUEIRO,"RUA LUIZ TEIXEIRA COSTA, Nº 91",CENTRO,57770000,
3947,Ativo,SERVIÇO REGISTRAL CIVIL E NOTAS,AL,CAPELA,"RUA IGNÁCIO MORAES, S/N",CENTRO,57780000,
3954,Ativo,SERVIÇO REGISTRAL DE PESSOAS NATURAIS,AL,PALMEIRA DOS INDIOS,"RUA JOSÉ E MARIA PASSOS, 258",CENTRO,57600030,
3962,Ativo,SERVIÇO REGISTRAL E NOTARIAL DAS PESSOAS NATURAIS,AL,TEOTONIO VILELA,"POVOADO ÁGUA DE MENINOS, S/N",ZONA RURAL,57265000,
3970,Ativo,SERVIÇO REGISTRAL E NOTARIAL DE CHÃ PRETA/AL,AL,CHA PRETA,"RUA DR. CHICO TEIXEIRA, Nº 79",CENTRO,57760000,
3988,Ativo,SERVIÇOS DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,OLHO D'AGUA DO CASADO,"AV. GUIOMAR MIRANDA BRITTO, N.º 107",JOSÈ BANDEIRA,57470000,
3996,Ativo,SERVIÇOS DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AL,SANTANA DO IPANEMA,"RUA CORONEL LUCENA MARANHÃO, Nº 190",CENTRO,57500000,
4028,Ativo,SEXTO OFICIO DE REGISTRO CIVIL E NOTAS DE MACEIO - AL,AL,MACEIO,"PRAÇA SANTO ANTONIO, 13",PONTA GROSSA,57017065,
4127,Ativo,12º REGISTRO CIVIL DE PESSOAS NATURAIS,AM,MANAUS,AVENIDA NOEL NUTELS S/N,CIDADE NOVA III,69096000,
4143,Ativo,OFÍCIO DO 2º REGISTRO CIVIL DAS PESSOAS NATURAIS,AM,MANAUS,"RUA COMENDADOR ALEXANDRE AMORIM, 528",APARECIDA,69010300,
4168,Ativo,CARTÓRIO DO 3° OFICIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AM,MANAUS,"AV. 7 DE SETEMBRO, 1251, SOBRELOJA - 11",CENTRO,69005141,
4192,Ativo,7º REGISTRO CIVIL DA PESSOAS NATURAIS,AM,MANAUS,ALVARES DE AZEVEDO Nº 32,COMPENSA I,69036410,
4200,Ativo,8º REGISTRO CIVIL DE PESSOAS NATURAIS DE MANAUS,AM,MANAUS,"AV. CONSTANTINO NERY, 2306",CHAPADA,69050001,
4218,Ativo,9º REGISTRO CIVIL DE PESSOAS NATURAIS DE MANAUS,AM,MANAUS,"RUA FRIBURGO, 23, LOJA 06",CIDADE NOVA I,69095200,
4226,Ativo,CARTÓRIO 2º OFICIO DA COMARCA DE ITACOATIARA,AM,ITACOATIARA,"RUA TORQUATO TAPÁJOS, Nº 1292",IRACY,69101053,
4234,Ativo,CARTÓRIO 1º OFÍCIO,AM,COARI,RUA 02 DE DEZEMBRO 365-A,CENTRO,69460000,
4242,Ativo,CARTORIO DO 1º OFICIO DA COMARCA DE TABATINGA,AM,TABATINGA,"RUA RUI BARBOSA, Nº.45/A",SÃO FRANCISCO,69640000,
4259,Ativo,CARTORIO DA 1ª VARA DE MANACAPURU-AM,AM,MANACAPURU,"RUA ADOLFO CAVALCANTE, 1.142",APARECIDA,69400444,
4267,Ativo,CARTÓRIO DO EXTRAJUDICIAL DA 2ª VARA DA COMARCA DE TABATINGA,AM,TABATINGA,"RUA GENERAL SAMPAIO, S/N°",CENTRO,69640000,
4275,Ativo,CARTÓRIO DA COMARCA DE BENJAMIN CONSTANT,AM,BENJAMIN CONSTANT,RUA MARCILIO DIAS S/Nº,CENTRO,69630000,
4283,Ativo,CARTORIO DA COMARCA DE SAO GABRIEL DA CACHOEIRA,AM,SAO GABRIEL DA CACHOEIRA,"AV. 31 DE MARÇO, S/N",CENTRO,69750000,
4291,Ativo,CARTÓRIO DA COMARCA DE CAREIRO DA VÁRZEA,AM,CAREIRO DA VARZEA,"RUA 29 DE JANEIRO, S/º",CENTRO,69255000,
4309,Ativo,CARTÓRIO JUDICIAL E ANEXOS DE ATALAIA DO NORTE,AM,ATALAIA DO NORTE,"AVENIDA AUGUSTO LUZEIRO, N.75",CENTRO,69650000,
4317,Ativo,CARTÓRIO DE JUDICIAL E ANEXOS DE BARREIRINHA,AM,BARREIRINHA,PRAÇA CRISTO REDENTOR S/Nº,CENTRO,69160000,
4325,Ativo,ÚNICO OFÍCIO EXTRAJUDICIAL DA COMARCA DE TAPAUÁ,AM,TAPAUÁ,"AV. PRESIDENTE CASTELO BRANCO, Nº. 293",CENTRO,69480000,
4341,Ativo,10º OFÍCIO DE REGISTRO CIVIL DE PESSOAS NATURAIS,AM,MANAUS,"AVENIDA AUTAZ MIRIM, N.º 4931",SÃO JOSÉ I,69084000,
4358,Ativo,CARTÓRIO DO 11º OFÍCIO DO REGISTRO CIVIL DE PESSOA NATURAIS.,AM,MANAUS,"AVENIDA TANCREDO NEVES, N° 282, CENTRO COMERCIAL VILA MARIANNA, SALA 12",PARQUE 10 DE NOVEMBRO,69054700,
4366,Ativo,CARTÓRIO DO 1° OFÍCIO DA COMARCA DE MANICORÉ,AM,MANICORE,"AVENIDA GETÚLIO VARGAS, 359",CENTRO,69280000,
4374,Ativo,CARTÓRIO DO 1º OFICIO DA COMARCA DE BARCELOS/AM,AM,BARCELOS,"RUA MENDONÇA FURTADO, Nº 79,",SÃO LÁZARO,69700000,
4382,Ativo,CARTÓRIO DO 1º OFICIO DE MAUÉS,AM,MAUES,"AV. GETÚLIO VARGAS, 298",CENTRO,69190000,
4390,Ativo,CARTÓRIO DO 2° OFÍCIO DA COMARCA DE MANICORÉ,AM,MANICORE,"TRAVESSA PEDRO TINOCO, 94",CENTRO,69280000,
4408,Ativo,CARTÓRIO DO 2º OFÍCIO DA COMARCA DE HUMAITÁ,AM,HUMAITA,"RUA PADRE JOSÉ MARIA PENA, Nº 1375-A",SÃO PEDRO,69800000,
4416,Ativo,CARTORIO DA 2ª VARA JUDICIAL E ANEXOS DA COMARCA DE ITACOATIARA,AM,ITACOATIARA,"AVENIDA PARQUE, 1266",IRACY,69101050,
4424,Ativo,CARTORIO DO 2º OFICIO JUDICIAL E ANEXO DE COARI,AM,COARI,"TRAVESSA RAIMUNDO MOTA, 220",CENTRO,69460000,
4432,Ativo,CARTÓRIO DO 2º OFÍCIO JUDICIAL E ANEXOS DE MAUÉS.,AM,MAUES,"AV. GETÚLIO VARGAS, 298 A",CENTRO,69190000,
4457,Ativo,CARTÓRIO DO 4º OFÍCIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,AM,MANAUS,"AV. LEOPOLDO PÉRES, Nº 666",EDUCANDOS,69070250,
4481,Ativo,CARTÓRIO DO 5º OFÍCIO DE REGISTRO CIVIL DE PESSOAS NATURAIS.,AM,MANAUS,AV: BORBA Nº1262,CACHOEIRINHA,69065030,
4499,Ativo,CARTORIO DO 6º OFICIO DO REGSITRO CIVIL DAS PESSOAS NATURAIS,AM,MANAUS,"RUA LOURIVAL MUNIZ, Nº 454,",GLORIA,69027640,
4549,Ativo,CARTÓRIO DO JUDICIAL E EXTRAJUDICIAL DE JUTAI,AM,JUTAI,"RUA 7 DE MARÇO, 59",CENTRO,69660000,
4556,Ativo,CARTÓRIO DE NOTAS E DE REGISTROS PÚBLICOS DE PRESIDENTE FIGUEIREDO-AM,AM,PRESIDENTE FIGUEIREDO,AVENIDA ACARIQUARA,CENTRO,69735000,
4564,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS 1ª VARA BERURI,AM,BERURI,"AV. PRESIDENTE COSTA E SILVA, 143",SÃO FRANCISCO,69430000,
4572,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS COMARCA DE IPIXUNA,AM,IPIXUNA,RUA JOSÉ RAIMUNDO MACIEL - Nº 80,CENTRO,69890000,
4580,Ativo,CARTÓRIO DO EXTRAJUDICIAL E ANEXOS COMARCA DE RIO PRETO DA EVA,AM,RIO PRETO DA EVA,"RUA GOVERNADOR JOÃO DA MATA, N.º 09",CENTRO,69117000,
4598,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA 3° OFÍCIO DE PARINTINS,AM,PARINTINS,"RUA JONATHAS PEDROSA, 226-EDIFÍCIO PAC",CENTRO,69151030,
4606,Ativo,1º CARTÓRIO DE NOTAS E ANEXOS DA COMARCA DE TEFÉ/AM,AM,TEFÉ,"RUA GETÚLIO VARGAS, Nº 171",CENTRO,69550073,
4614,Ativo,CARTÓRIO DE ALVARÃES,AM,ALVARAES,AVENIDA SÃO JOAQUIM Nº 311,CENTRO,69540000,
4622,Ativo,SERVENTIA EXTRAJUDICIAL DA COMARCA DE ANAMÃ,AM,ANAMA,RUA ALVARO MAIA S/N,CENTRO,69445000,
4630,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE ANORI,AM,ANORI,"RUA 31 DE MARÇO, Nº 344",CENTRO,69440000,
4648,Ativo,CARTÓRIO BRITO,AM,AUTAZES,"RUA JOSÉ SIQUERIA, 235",CENTRO,69240000,
4655,Ativo,1ª SERVENTIA DE NOTAS E REGISTROS PÚBLICOS DA COMARCA DE BORBA,AM,BORBA,"RUA CORONEL PEDRO DE SOUZA, S/N",CENTRO,69200000,
4663,Ativo,CARTORIO DO JUDICIAL E ANEXOS DA COMARCA DE CANUTAMA,AM,CANUTAMA,RUA ANTONIO ALBERTO Nº 413,CENTRO,69820000,
4671,Ativo,CARTORIO EXTRAJUDICIAL DA COMARCA DE CARAUARI/AM,AM,CARAUARI,"RUA ANASTÁCIO CAVALCANTE, Nº 508A",CENTRO,69500000,
4689,Inativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE FONTE BOA,AM,ALVARAES,"AVENIDA FRANCISCO PEREIRA DE SOUZA, Nº 673",CIDADE NOVA,69670000,
4697,Ativo,CARTÓRIO  DA COMARCA DE GUAJARÁ - OFÍCIO ÚNICO,AM,GUAJARA,"AV. JUSTINO BERNARDES, 272",CENTRO,69895000,
4705,Ativo,CARTÓRIO JUDICIAL E ANEXOS DA COMARCA DE IRANDUBA,AM,IRANDUBA,"RODOVIA CARLOS BRAGA, KM 0, ED. RIO NEGRO CENTER, SALA 07/08, BAIRRO NOVO AMANHECER",NOVO AMANHECER,69415000,
4713,Ativo,CARTÓRIO EXTRAJUDICIAL DA COMARCA DE ITAPIRANGA,AM,ITAPIRANGA,"AVENIDA PRES. GETULIO VARGAS, 157 CENTRO",CENTRO,69120000,
4721,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE LABREA,AM,LABREA,"RUA WALDOMIR CRUZ, N.º 2617",BARRA LIMPA,69830000,
4739,Ativo,CARTORIO DO JUDICIAL E ANEXOS DA COMARCA DE MANAQUIRI,AM,MANAQUIRI,"RUA: ESTELIANO DOS SANTOS, 184",CENTRO,69435000,
4747,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE NHAMUNDÁ,AM,NHAMUNDA,"RUA FURTADO BELÉM, 51",CENTRO,69140000,
4754,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE NOVA OLINDA DO NORTE,AM,NOVA OLINDA DO NORTE,"RUA 24 DE AGOSTO, N° 999",CENTRO,69230000,
4762,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE NOVO AIRÃO,AM,NOVO AIRAO,"RUA ADEMAR DE BARROS, S/Nº",CENTRO,69730000,
4770,Ativo,CARTÓRIO EXTRAJUDICIAL DA COMARCA DE NOVO ARIPUANÃ-AM,AM,NOVO ARIPUANA,RUA CASTELO BRANCO Nº 12,CENTRO,69260000,
4788,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE SANTO ANTONIO DO IÇA,AM,SANTO ANTONIO DO ICA,"RUA 13 DE JUNHO, S/Nº",ALVARO MAIA,69680000,
4796,Ativo,CARTÓRIO EXTRAJUDICIAL DA COMARCA DE SÃO SEBASTIÃO DO UATUMÃ,AM,SAO SEBASTIAO DO UATUMA,"AVENIDA UATUMÃ, Nº 467",TRINDADE,69135000,
4804,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE SILVES,AM,SILVES,AVENIDA GOVERNADOR EDUARDO BRAGA S/N,PANORAMA,69114000,
4812,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE URUCARÁ,AM,URUCARA,RUA JOSE FALABELLA Nº 45,CENTRO,69130000,
4820,Ativo,CARTORIO DO JUDICIAL E ANEXOS DA COMARCA DO CAREIRO,AM,CAREIRO,"AVN. ADAIL DE SA, Nº 594",CENTRO,69250000,
4838,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DE JAPURÁ,AM,JAPURA,"AVENIDA JUCELINO KUBITISHECK, S/N",CENTRO,69495000,
4846,Ativo,CARTÓRIO DE NOTAS E REGISTROS PÚBLICOS DE URUCURITUBA,AM,URUCURITUBA,"AV. PRESIDENTE GETÚLIO VARGAS, S/N",CENTRO,69180000,
4853,Ativo,CARTORIO DO JUDICIAL E ANEXOS DO 1º OFÍCIO DA COMARCA DE PARINTINS,AM,PARINTINS,"AV. AMAZONAS, N. 2699",CENTRO,69151000,
4861,Ativo,CARTORIO DO JUDICIAL E ANEXOS DO 2º OFÍCIO DA COMARCA DE PARINTINS - AMAZONAS,AM,PARINTINS,"AVENIDA AMAZONAS, 2026",CENTRO,69151000,
4879,Ativo,2º TABELIONATO E REGISTROS PÚBLICOS DE MANACAPURU,AM,MANACAPURU,"RUA QUINTINO BOCAIÚVA, 989",CENTRO,69400970,
4887,Ativo,CARTÓRIO DO JUDICIAL ANEXOS DA COMARCA DE APUÍ,AM,APUI,"AV. 13 DE NOVEMBRO, S/N",CENTRO,69265000,
4895,Ativo,CARTÓRIO DO PRIMEIRO OFICIO DO EXTRAJUDICIAL E ANEXOS DE HUMAITÁ,AM,HUMAITA,"RUA 23 DE OUTUBRO, Nº. 808",NOVO CENTENÁRIO,69800000,
4952,Ativo,CARTÓRIO FERNANDES,AM,EIRUNEPE,"RUA 21 DE SETEMBRO, Nº 21",CENTRO,69880000,
4960,Ativo,CARTORIO JUDICIAL E ANEXOS,AM,BOCA DO ACRE,"RUA CECILIA LEITE, 89",PLATO DO PIQUIÁ,69850000,
4978,Ativo,CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE CAAPIRANGA,AM,CAAPIRANGA,AVENIDA GETÚLIO VARGAS N. 146,CENTRO,69425000,
4986,Ativo,CARTORIO JUDICIAL E ANEXOS DA COMARCA DE MARAÃ,AM,MARAÃ,"AV. CASTELO BRANCO, N.30",CENTRO,69490000,
4994,Ativo,CARTORIO DO 1º OFICIO DE REGISTRO CIVIL,AM,MANAUS,"AVENIDA EPAMINONDAS, 678,",CENTRO,69010090,
5009,Ativo,CARTORIO DO JUDICIAL E ANEXOS DA COMARCA DE ITAMARATI,AM,ITAMARATI,"RUA BOA VISTA, Nº 105",CENTRO,69510000,
5017,Ativo,COMARCA DO JUDICIAL E ANEXOS DE CODAJÁS,AM,CODAJAS,RUA JOÃO PESSOA ESQUINA COM GETULIO VARGAS,CENTRO,69450000,
5025,Ativo,CARTÓRIO DE PAUINI,AM,PAUINI,AVENIDA CASTELO BRANCO,CENTRO,69860000,
5033,Ativo,CARTORIO DO 1° OFICIO DE NOTAS E REGISTROS PUBLICOS,AM,SAO PAULO DE OLIVENCA,"RUA PRUDENTE DE MORAES, Nº 1219",CENTRO,69600000,
5074,Ativo,2º OFÍCIO DE NOTAS E ANEXOS,AP,MACAPA,"RUA SANTOS DUMONT, 2723",BURITIZAL,68902880,
5082,Ativo,CARTORIO DE REGISTRO CIVIL EXTRAJUDICIAL,AP,CUTIAS,RUA PROFESSOR ALICE PIMENTEL 674,CENTRAL,68973000,
5090,Ativo,CARTÓRIO DE REGISTRO PÚBLICO E TABELIONATO,AP,SERRA DO NAVIO,RUA A3 467,VILA INTERMEDIÁRIA,68948000,
5108,Ativo,CARTÓRIO APOLINÁRIO,AP,FERREIRA GOMES,"AVENIDA COSTA E SILVA, 116",CENTRO,68915000,
5116,Ativo,CARTÓRIO JUCÁ CRUZ,AP,MACAPA,"RUA TIRADENTES, 876",CENTRAL,68900098,
5124,Ativo,CARTÓRIO DE REGISTRO PÚBLICO E TABELIONATO,AP,PEDRA BRANCA DO AMAPARI,"RUA FRANCISCO BRAS, 65",CENTRO,68945000,
5132,Ativo,CARTORIO DE REGISTROS PUBLICOS E TABELIONATO DA COMARCA DE CALÇOENE,AP,CALCOENE,AV JOAO ANASTACIO DOS SANTOS,CENTRO,68960000,
5140,Ativo,CARTORIO DE REGISTROS PUBLICOS E TABELIONATO DE ITAUBAL,AP,ITAUBAL,RUA JOAO PALHADOS REIS 445,CENTRO,68976000,
5157,Ativo,CARTORIO DE REGISTROS PÚBLICOS E TABELIONATO DO OIAPOQUE,AP,OIAPOQUE,"RUA GETULIO VARGAS, 754-B",CENTRO,68980000,
5165,Ativo,CARTÓRIO DE TARTARUGALZINHO,AP,TARTARUGALZINHO,AV. NOSSA SENHORA DO P. SOCORRO ESQUINA COM RUA SÃO LUIZ,CENTRO,68990000,
5173,Ativo,REGISTROS PUBLICOS E TABELIONATO DO UNICO OFICIO DE PORTO GRANDE,AP,PORTO GRANDE,"AV. JOAQUIM FRAZÃO DE ARAÚJO, 326",CENTRO,68997000,
5181,Ativo,CARTORIO DE REGISTROS PÚBLICOS E TABELIONATO COMARCA DE AMAPÁ,AP,AMAPÁ,"PRAÇA BARÃO DO RIO BRANCO, N° 64",CENTRO,68950,
5199,Ativo,CARTÓRIO OLIVEIRA,AP,SANTANA,"AVENIDA PRESIDENTE MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO, 641",COMERCIAL,68925105,
5207,Ativo,SERVENTIA EXTRAJUDICIAL DE REGISTROS PÚBLICOS E TABELIONATO DE MAZAGAO,AP,MAZAGAO,"AVENIDA INTENDENTE ALFREDO PINTO, 910,",UNIÃO,68940000,
5215,Ativo,POSTO AVANCADO DO JUIZO DE AMAPA NO MUNICIPIO DE PRACUUBA,AP,PRACUUBA,RUA FRANCISCO TEIXEIRA 36,CENTRO,68918000,
5223,Ativo,REGISTRO CIVIL DE PESSOAS NATURAIS E TABELIONATO DE NOTAS DO DISTRITO DE CONCEIÇÃO DO MONTE ALEGRE,SP,PARAGUACU PAULISTA,"RUA EMILIANO VIEIRA DE CARVALHO, 477",CONCEIÇÃO DO MONTE ALEGRE,19710000,
5249,Ativo,CARTÓRIO DE REGISTROS PÚBLICOS E TABELIONATO,AP,MACAPA,"VILA PROGRESSO, PASSARELA NOEMIA AMANAJÁS",VIEIRA,68913000,
5256,Ativo,CARTÓRIO DE LARANJAL DO JARI,AP,LARANJAL DO JARI,"AV. VITORIA REGIA, 2740",AGRESTE,68920000,
5264,Ativo,CARTÓRIO REIS,AP,VITORIA DO JARI,"AVENIDA PEDRO LADISLAU, 3200",COMERCIAL,68924000,
5280,Ativo,REGISTRO CIVIL DO 2º OFÍCIO,BA,VITORIA DA CONQUISTA,"AVENIDA ASCENDINO MELO, 378",RECREIO,45020740,
5298,Ativo,REGISTRO CIVIL DAS PESSOAS NATURAIS,BA,RIO DE CONTAS,PRAÇA DA MATRIZ,CENTRO,46170000,
5322,Ativo,TABELIONATO 1º OFICIO DE NOTAS,BA,CAMACARI,"RUA TUPINAMBÁ, 83",CENTRO,42800140,
5405,Ativo,REGISTRO CIVIL 2º OFÍCIO,BA,ALAGOINHAS,"RUA DANTAS BIÃO, S/N, SALA Nº 44",ALAGOINHAS VELHA,48030902,
5470,Ativo,ALAGOINHAS/DIST.ARAMARI-REGISTRO CIVIL,BA,ARAMARI,"RUA ARTUR PORTELA, 41",CENTRO,48130000,
5496,Ativo,CARTÓRIO DO REGISTRO CIVIL- SEDE,BA,ANTAS,"RUA JOÃO NILO, 538",CENTRO,48420000,
5512,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - INHAUMAS,BA,SANTA MARIA DA VITORIA,"PRAÇA DA INSTRUÇÃO, S/N",CENTRO,47640000,
5520,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,BAIANÓPOLIS,AVENIDA ANTONIO CARLOS MAGALHAES,CENTRO,47830000,
5538,Ativo,CARTÓRIO DO REGISTRO CIVIL - SEDE,BA,BARRA DA ESTIVA,"PRAÇA DA AMIZADE, 157",CENTRO,46650000,
5546,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - MINAS DO ESPÍRITO SANTO,BA,BARRA DO MENDES,RUA ANTONIO EVARISTO DOS SANTOS,CENTRO,44990000,
5579,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - IGUIRA,BA,XIQUE-XIQUE,PRAÇA FRANCOLINO SANTOS S/N,CENTRO,47400000,
5587,Ativo,REG. CIVIL DAS P.NATURAIS C/FUNÇÕES NOTARIAIS DISTRITO GUAÍ,BA,MARAGOGIPE,VILA DE GUAÍ S/N,GUAÍ,44420000,
5595,Ativo,CARTÓRIO DO REGISTRO CIVIL COM FUNÇÕES NOTARIAIS - OURICURI DO OURO,BA,BROTAS DE MACAUBAS,"AV. JOANA ANGELICA, 347",CENTRO,47560000,
